Isbn,Author_id,Author_fname,Author_lname
1961619318,1,Yvette,Monroe
1971233185,2,Winifred,Nash
2729337632,3,Yael ,Reese
3773869856,4,Georgia ,Valentine
4319643959,5,Azalia ,Rojas
4732464289,6,Kessie,Frank
5636284251,7,Robert ,Kiyosaki 
5786289751,8,Medge ,Mendez
8756215456,9,Marcia ,Richard
5636284254,10,Daphne ,Mcneil
5786289755,11,Lael ,Hewitt
8523696542,12,Tui,T. Sutherland
6422625263,13,Macy ,Swanson
7288227188,14,Scarlett ,Buckner
7355755625,15,Sage ,Rowe
7355755628,16,Carolyn ,Rios
7492133892,17,Julie ,Raymond
7492133292,18,Jane ,Wilkerson
8498738145,19,Jaquelyn ,Rivera
8648347264,20,Bertha ,French
